FIPS,Jurisdict,EO_Total,EO_Vert,EO_Invert,EO_Plant,EO_Other,EO_Terr,EO_Aqu,EO_Karst,Hist_Total,Hist_5yr,Irrep_Total,Irrep_Acres,Irrep_Cat1,Irrep_Cat3,Income
51660,City of Harrisonburg,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43893
51670,City of Hopewell,1.946,0.693,0.000,1.609,0.693,1.609,1.099,0.000,0.693,0.000,0.000,0.000,0.000,0.000,40497
51678,City of Lexington,1.792,0.000,0.000,1.386,1.099,1.792,0.000,0.000,0.693,0.693,0.000,0.000,0.000,0.000,36466
51680,City of Lynchburg,0.693,0.000,0.000,0.000,0.693,0.000,0.693,0.000,1.099,0.000,0.000,0.000,0.000,0.000,43374
51683,City of Manassas,1.099,0.000,1.099,0.000,0.000,0.000,1.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78462
51685,City of Manassas Park,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80667
51690,City of Martinsville,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33224
51700,City of Newport News,2.398,1.792,0.000,1.609,0.693,2.303,0.693,0.000,1.792,0.693,0.693,0.964,0.000,0.964,51884
51710,City of Norfolk,2.197,1.792,0.693,1.099,0.000,2.079,0.693,0.000,1.946,1.099,0.693,3.682,0.000,3.682,49146
51720,City of Norton,0.693,0.000,0.693,0.000,0.000,0.693,0.000,0.000,1.099,0.000,0.000,0.000,0.000,0.000,28071
51730,City of Petersburg,1.099,0.000,0.000,1.099,0.000,1.099,0.000,0.000,3.178,0.000,0.000,0.000,0.000,0.000,36135
51735,City of Poquoson,1.386,1.099,0.693,0.000,0.000,1.386,0.000,0.000,1.386,1.099,0.000,0.000,0.000,0.000,96831
51740,City of Portsmouth,1.946,1.946,0.000,0.000,0.000,1.792,0.693,0.000,1.792,0.693,0.000,0.000,0.000,0.000,50224
51750,City of Radford,2.079,0.000,0.693,1.609,1.099,1.792,0.693,0.693,1.099,0.000,0.000,0.000,0.000,0.000,36743
51760,City of Richmond,1.609,0.000,0.693,1.386,0.000,1.386,1.386,0.000,1.099,0.000,0.693,1.344,0.651,0.939,45117
51770,City of Roanoke,0.693,0.693,0.000,0.000,0.000,0.000,0.693,0.000,1.099,0.000,0.000,0.000,0.000,0.000,43028
51775,City of Salem,1.099,1.099,0.000,0.000,0.000,0.000,1.099,0.000,1.609,0.000,0.000,0.000,0.000,0.000,57185
51790,City of Staunton,1.099,0.000,0.000,0.693,0.693,0.693,0.000,0.693,0.000,0.000,0.000,0.000,0.000,0.000,48049
51800,City of Suffolk,4.942,2.996,2.303,4.575,2.773,4.898,2.079,0.693,4.466,1.946,2.303,6.067,6.030,2.804,70664
51810,City of Virginia Beach,5.263,2.996,3.367,4.682,3.664,5.263,1.099,0.000,4.277,3.850,3.045,7.728,7.691,4.424,74186
51820,City of Waynesboro,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,0.000,0.000,45738
51830,City of Williamsburg,1.792,0.000,0.000,1.386,1.099,1.792,0.000,0.000,2.079,1.099,0.000,0.000,0.000,0.000,56163
51840,City of Winchester,2.773,0.000,0.000,2.708,0.693,2.773,0.000,0.000,1.099,0.000,1.792,2.775,0.000,2.775,53797
